item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q113549301,Magilumiere Co. Ltd.,Japanese manga series,Magilumiere,manga di Sekka Iwata e Yu Aoki
http://www.wikidata.org/entity/Q110413902,Kakeau Tsukihi,Japanese manga series by Sei Fukui,Kakeau Tsukihi,serie di manga
http://www.wikidata.org/entity/Q3207701,The Tragical Comedy or Comical Tragedy of Mr. Punch,1994 graphic novel by Neil Gaiman and Dave McKean,La tragica commedia o la comica tragedia di Mr Punch,graphic novel
http://www.wikidata.org/entity/Q1320289,Destination Moon,sixteenth volume of The Adventures of Tintin,Obiettivo Luna,albo della serie a fumetti Le avventure di Tintin
http://www.wikidata.org/entity/Q3063776,Fable of Venice,comic book volume,Favola di Venezia,albo della serie a fumetti Corto Maltese
http://www.wikidata.org/entity/Q115613087,Chivalry of a Failed Knight,Japanese manga series,L'epopea del cavaliere ripetente,serie manga
http://www.wikidata.org/entity/Q114774169,Saga of Tanya the Evil,Japanese manga series,Saga of Tanya the Evil,serie di manga
http://www.wikidata.org/entity/Q120336481,The Shiunji Family Children,Japanese manga series,The Shiunji Family Children,serie manga
http://www.wikidata.org/entity/Q920793,Batman: Knightfall,comic book story arc,Batman: Knightfall,arco narrativo a fumetti
http://www.wikidata.org/entity/Q3206375,The Ballad of the Salty Sea,1972 comic album,Una ballata del mare salato,albo della serie a fumetti Corto Maltese
http://www.wikidata.org/entity/Q112659286,The Ice Guy and His Cool Female Colleague,Japanese manga series,Ice Guy & Cool Girl,manga scritto e disegnato da Miyuki Tonogaya
http://www.wikidata.org/entity/Q1093690,The Dreamtime Duck of the Never Never,chapter 7 of The Life and Times of Scrooge McDuck,Il leggendario papero del deserto d'Australia,"capitolo della ""Saga di Paperon de' Paperoni"" di Don Rosa"
http://www.wikidata.org/entity/Q114905570,The Dreaming Boy Is a Realist,Japanese manga series,Yumemiru danshi wa genjitsushugisha,manga scritto da Okemaru e disegnato da Popuri Yoshikita
http://www.wikidata.org/entity/Q123941890,Corrector Yui,Japanese manga series by Kia Asamiya,Corrector Yui,manga di Kia Asamiya
http://www.wikidata.org/entity/Q1430632,Flight 714,twenty-second volume of The Adventures of Tintin,Volo 714 destinazione Sidney,albo della serie a fumetti Le avventure di Tintin
http://www.wikidata.org/entity/Q112570313,RuriDragon,Japanese manga series,Ruri Dragon,manga scritto e disegnato da Masaoki Shindo
http://www.wikidata.org/entity/Q109914278,Dorondororon,Japanese manga series,Doron dororon,Manga di Gen Oosuka
http://www.wikidata.org/entity/Q116791758,Love and Heart,manga,Koi to shinzō,manga
http://www.wikidata.org/entity/Q112169276,The Devil Is a Part-Timer!,Japanese manga series,The Devil Is a Part Timer!,manga di Akio Hiiragi
http://www.wikidata.org/entity/Q11324205,Nicoichi,Japanese manga series by Renjūrō Kindaichi,Nicoichi,serie di manga
http://www.wikidata.org/entity/Q115768735,Berserk of Gluttony,Japanese manga series,Berserk of Gluttony,serie manga giapponese
http://www.wikidata.org/entity/Q926746,The Terror of the Transvaal,chapter 6 of The Life and Times of Scrooge McDuck,Il terrore del Transvaal,"capitolo della ""Saga di Paperon de' Paperoni"" di Don Rosa"
http://www.wikidata.org/entity/Q1093607,The Richest Duck in the World,chapter 12 of The Life and Times of Scrooge McDuck,Il papero più ricco del mondo,"capitolo della ""Saga di Paperon de' Paperoni"" di Don Rosa"
http://www.wikidata.org/entity/Q11325066,Ninja Slayer,Japanese science fiction novel series,Ninja Slayer,light novel presumibilmente create da Bradley Bond e Philip Ninj@ Morzez
http://www.wikidata.org/entity/Q111726913,KamiKatsu,Japanese manga series,KamiKatsu,serie di manga
http://www.wikidata.org/entity/Q124474801,Super Psychic Policeman Chojo,Japanese manga series,Chōjun! Chōjō senpai,manga scritto e disegnato da Shun Numa
http://www.wikidata.org/entity/Q110962178,Reincarnated as a Sword: Another Wish,Japanese manga series,Tensei shitara Ken deshita: Another Wish,serie di manga
http://www.wikidata.org/entity/Q106553310,Kämpfer,Japanese manga series,Kämpfer,serie manga
http://www.wikidata.org/entity/Q115652204,Invaders of the Rokujouma!?,Japanese manga series,Invaders of the Rokujyoma!?,serie manga
http://www.wikidata.org/entity/Q113648736,"I Got a Cheat Skill in Another World and Became Unrivaled in the Real World, Too",Japanese manga series,"I Got a Cheat Skill in Another World and Became Unrivaled in the Real World, Too",serie di manga
http://www.wikidata.org/entity/Q112119081,Tokyo Aliens,Japanese manga series,Tokyo Aliens,manga scritto e disegnato da NAOE
