item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q433179,APG system,1998 system of plant taxonomy,classificazione APG,classificazione scientifiche delle piante
http://www.wikidata.org/entity/Q101929,immunology,branch of medicine studying the immune system,immunologia,branca della biologia che studia il sistema immunitario
http://www.wikidata.org/entity/Q465206,SLAP tear,tear of the superior glenoid labrum from anterior to posterior,lesione SLAP,lesione del cercine glenoideo
http://www.wikidata.org/entity/Q3291045,metoidioplasty,"female-to-male sex reassignment surgery, creating a penis-analogue from the clitoris",metoidioplastica,"operazione chirurgica di riassegnamento del sesso FtM, che consiste nella creazione di uno pseudopene partendo dalla clitoride"
http://www.wikidata.org/entity/Q210369,paleozoology,branch of paleontology and zoology that studies fossil animals,paleozoologia,disciplina paleontologica che studia gli animali estinti
http://www.wikidata.org/entity/Q1980387,protozoology,study of Protozoa,protozoologia,branca della zoologia che studia i protozoi
http://www.wikidata.org/entity/Q190979,arachnology,scientific study of arachnids (spiders and related animals),aracnologia,branca della zoologia che studia gli aracnidi
http://www.wikidata.org/entity/Q738011,landscape ecology,science of relationships between ecological processes in the environment and particular ecosystems,ecologia del paesaggio,branca della scienza
http://www.wikidata.org/entity/Q1772402,zero waste,philosophy that encourages the redesign of resource life cycles so that all products are reused,Rifiuti Zero,Strategia di gestione dei rifiuti
http://www.wikidata.org/entity/Q26939,epigenetics,study of changes in gene expression or cellular phenotype,epigenetica,branca della genetica
http://www.wikidata.org/entity/Q1429339,quantum biology,application of quantum mechanics and theoretical chemistry to biological objects and problems,biologia quantistica,branca della biologia
http://www.wikidata.org/entity/Q3450906,behavioural biology,subdiscipline of biology,biologia comportamentale,branca della biologia
http://www.wikidata.org/entity/Q4689878,African Parks Network,international NGO from South Africa,African Parks,ONG che si dedica alla conservazione dell'ambiente
http://www.wikidata.org/entity/Q3516404,systematics,study of relationships between organisms,sistematica,branca della biologia che si occupa di classificare gli esseri viventi
http://www.wikidata.org/entity/Q17077315,gut–brain axis,biochemical signaling that takes place between the gastrointestinal tract (GI tract) and the central nervous system,psicobiotica,studio del collegamento fra microbioma intestinale e neuroscienze
http://www.wikidata.org/entity/Q60242,ichthyology,branch of zoology devoted to the study of fish,ittiologia,branca della zoologia che studia i pesci
http://www.wikidata.org/entity/Q1297776,organology,branch of biology,organologia,branca della biologia
http://www.wikidata.org/entity/Q1752305,electrotherapy,use of electricity for medical purposes,elettroterapia,diadinamiche correnti
http://www.wikidata.org/entity/Q2305304,self psychology,school of psychoanalysis,psicologia del Sé,orientamento della psicologia dinamica
http://www.wikidata.org/entity/Q1138244,phytosociology,branch of ecology studying plant communities,fitosociologia,"branca della geobotanica, o fitogeografia, che consente di utilizzare le comunità vegetali"
http://www.wikidata.org/entity/Q7141,cell biology,scientific discipline that studies cells,biologia cellulare,branca della biologia che studia la cellula
http://www.wikidata.org/entity/Q1968653,chondrolaryngoplasty,surgical procedure,Condrolaringoplastica,intervento chirurgico
http://www.wikidata.org/entity/Q115926971,brainstem auditory evoked potential,electrophysiological assessment of auditory system synchrony,potenziale evocato uditivo del tronco encefalico,valutazione elettrofisiologica della sincronia del sistema uditivo
http://www.wikidata.org/entity/Q12156616,Bühlmann decompression algorithm,algorithm for modelling of inert gases entering and leaving body tissues as pressure changes,Algoritmo Buhlmann,algoritmo di decompressione
http://www.wikidata.org/entity/Q940923,psychodynamics,approach to psychology,psicodinamica,branca della psicologia che studia i meccanismi e processi psichici sottesi al comportamento e alla personalità
http://www.wikidata.org/entity/Q210506,molecular genetics,scientific study of genes at the molecular level,genetica molecolare,studio scientifico dei geni al livello molecolare
http://www.wikidata.org/entity/Q188391,phycology,branch of botany concerned with the study of algae,algologia,branca della botanica che studia le alghe
http://www.wikidata.org/entity/Q192694,paleobotany,branch of botany and paleontology,paleobotanica,branca della botanica
http://www.wikidata.org/entity/Q5333460,economic entomology,"branch of entomology that studies insects that benefit or harm humans, domestic animals, and crops",entomologia economica,settore che studia i risvolti economici dell'entomologia
