item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q647559,goalball,team sport designed for participants with vision impairment,pallarete,sport a squadre per persone con disabilità visive
http://www.wikidata.org/entity/Q1512655,Kulbit,aerial maneuver,Kulbit,manovra acrobatica
http://www.wikidata.org/entity/Q201252,pankration,martial art in ancient Greek festivals,pancrazio,antico sport da combattimento
http://www.wikidata.org/entity/Q748757,Rome Marathon,annual marathon competition in Rome,Maratona di Roma,gara podistica
http://www.wikidata.org/entity/Q171576,1993 European Grand Prix,Formula One motor race held in 1993,Gran Premio d'Europa 1993,corsa automobilistica
http://www.wikidata.org/entity/Q202243,Allsvenskan,Swedish men's association football top division,Allsvenskan,massima serie del campionato svedese di calcio
http://www.wikidata.org/entity/Q478584,CP football,paralympic football for players with cerebral palsy,calcio a 7-un-lato,sport per disabili
http://www.wikidata.org/entity/Q1196161,Immelmann turn,aerial maneuver,Virata di Immelmann,manovra aerea
http://www.wikidata.org/entity/Q1471659,Shell Eco-marathon,award,Shell Eco-marathon,competizione motoristica studentesca
http://www.wikidata.org/entity/Q3834913,Group races,class of thoroughbred horse racing,Listed,categoria di gare di corse al galoppo
http://www.wikidata.org/entity/Q235114,Super League Greece,Top professional league in Greek association football league system,Campionato greco di calcio,Massimo livello professionistico del campionato di calcio greco
http://www.wikidata.org/entity/Q1215892,National Hockey League,North American professional ice hockey league,National Hockey League,lega professionistica di hockey su ghiaccio maschile di Stati Uniti e Canada (1917)
http://www.wikidata.org/entity/Q1128216,wheelchair basketball,basketball played by people in wheelchairs,pallacanestro in carrozzina,sport paralimpico
http://www.wikidata.org/entity/Q109058280,Super Rugby Aupiki,women's rugby union competition in NZ,Super Rugby Aupiki,competizione neozelandese di rugby a 15 femminile
http://www.wikidata.org/entity/Q87561703,Elite Motorsport,auto racing team,Elite Motorsport,scuderia automobilistica italiana
http://www.wikidata.org/entity/Q607965,Serie C,third-highest division in the Italian football league system,Serie C,terzo livello del campionato italiano di calcio
http://www.wikidata.org/entity/Q3817199,Transvulcania,Long distance race,Transvulcania,competizione di corsa
http://www.wikidata.org/entity/Q220988,1996 European Grand Prix,Formula One race,Gran Premio d'Europa 1996,corsa automobilistica
http://www.wikidata.org/entity/Q188966,contract bridge,card game,bridge,gioco di carte
http://www.wikidata.org/entity/Q172160,1968 French Grand Prix,Formula One motor race held in 1968,Gran Premio di Francia 1968,corsa automobilistica
http://www.wikidata.org/entity/Q7400239,sailing at the 1948 Summer Olympics – Firefly,Sailing at the Olympics,Vela ai Giochi della XIV Olimpiade - Firefly,Competizione dei giochi della XIV Olimpiade
http://www.wikidata.org/entity/Q220923,1983 European Grand Prix,Formula One motor race held in 1983,Gran Premio d'Europa 1983,corsa automobilistica
http://www.wikidata.org/entity/Q4493605,blind soccer,five-on-five football game for blind and partially sighted players,calcio a 5 per ciechi,variante del calcio a 5 per atleti con disabilità visiva
http://www.wikidata.org/entity/Q752138,New York City Marathon,"marathon running race held in New York, United States",Maratona di New York,corsa annuale statunitense
http://www.wikidata.org/entity/Q19036,2012 Korean Grand Prix,Formula One race,Gran Premio di Corea 2012,corsa automobilistica
http://www.wikidata.org/entity/Q18543,Major League Soccer,professional soccer league in the USA and Canada,Major League Soccer,campionato di calcio del sistema di lega statunitense e canadese
http://www.wikidata.org/entity/Q675231,Self-Transcendence 3100 Mile Race,World's longest certified footrace.,Self-Transcendence 3100 Mile Race,la gara di fondo estremo più lunga al mondo
http://www.wikidata.org/entity/Q106548888,European Super League,proposed annual football club competition,European Super League,progetto di lega calcistica europea (2021)
http://www.wikidata.org/entity/Q1044949,Carrera Panamericana,sports car race held in Mexico,Carrera Panamericana,competizione automobilistica di durata
http://www.wikidata.org/entity/Q175976,Serie A Élite,top-tier Italian rugby union championship,Serie A Élite,prima divisione italiana di rugby a 15 maschile
http://www.wikidata.org/entity/Q16629853,mixed doubles,tennis discipline,doppio misto,sport della racchetta
http://www.wikidata.org/entity/Q1256376,Milano City Marathon,marathon,Milano Marathon,gara podistica sulla distanza della maratona che si svolge annualmente a Milano
http://www.wikidata.org/entity/Q155223,National Basketball Association,North American professional men's basketball league,National Basketball Association,lega professionistica di pallacanestro maschile di Stati Uniti e Canada
http://www.wikidata.org/entity/Q853890,Enduro,form of motorcycle sport,enduro,disciplina sportiva motociclistica
http://www.wikidata.org/entity/Q1486621,Grand Prix van Hasselt,cyclo-cross,Grote Prijs van Hasselt,corsa in linea di ciclocross maschile e femminile
http://www.wikidata.org/entity/Q194901,1982 French Grand Prix,Formula One motor race held in 1982,Gran Premio di Francia 1982,corsa automobilistica
http://www.wikidata.org/entity/Q963312,para ice hockey,form of ice hockey mainly practiced by people with disabilities,Hockey su slittino,sport di squadra paralimpico invernale
http://www.wikidata.org/entity/Q844443,wheelchair rugby,sport of rugby union adapted for participants in wheelchairs,rugby in carrozzina,sport paralimpico
http://www.wikidata.org/entity/Q208147,hang gliding,air sport or recreational activity,deltaplano,mezzo progettato per il volo libero
http://www.wikidata.org/entity/Q908381,Gomoku,board game,Gomoku,gioco da tavolo
http://www.wikidata.org/entity/Q2955893,Championship,second level of British rugby league,Championship,campionato inglese di rugby a 13 di seconda divisione
http://www.wikidata.org/entity/Q763927,masters athletics,category of light athletics,Master,categoria di atletica leggera
http://www.wikidata.org/entity/Q1717983,Jūkendō,Japanese martial art,Jukendo,arte marziale giapponese
http://www.wikidata.org/entity/Q274079,quiz,form of game or mind sport in which the players attempt to answer questions correctly,quiz,gioco in cui i giocatori tentano di rispondere correttamente a delle domande
http://www.wikidata.org/entity/Q333070,private pilot licence,in aviation,Licenza di pilota privato,certificazione che abilita a pilotare un aereo per scopi privati
http://www.wikidata.org/entity/Q1215884,National Football League,professional American football league,National Football League,campionato statunitense di football americano
http://www.wikidata.org/entity/Q478659,power hockey,parasport,hockey in carrozzina,sport
http://www.wikidata.org/entity/Q748139,Othello,strategy board game,Othello,gioco da tavolo
http://www.wikidata.org/entity/Q2366941,Fórmula Truck,truck racing championship held in Brazil,Fórmula Truck,soppressa formula motoristica brasiliana corsa da trattori stradali modificati
http://www.wikidata.org/entity/Q30560738,League of Legends EMEA Championship,professional League of Legends esports league,Campionato Europeo di League of Legends,Lega Europea professionale dell'esport League of Legends
http://www.wikidata.org/entity/Q855988,Super Rugby,rugby union competition,Super Rugby,competizione interconfederale per club di rugby a 15
http://www.wikidata.org/entity/Q9114,Pescara Grand Prix,Formula 1 Grand Prix,Gran Premio di Pescara,Gran Premio di Formula 1
http://www.wikidata.org/entity/Q1917247,Mehl-Mülhens-Rennen,Flat horse race in Germany,Mehl-Mülhens-Rennen,Gara
http://www.wikidata.org/entity/Q17299348,women's doubles,tennis discipline,doppio femminile,sport della racchetta
http://www.wikidata.org/entity/Q47496155,XFL,U.S.-based American football league (2020–2023),X Football League 2020,lega professionistica statunitense di football americano
http://www.wikidata.org/entity/Q1153025,wheelchair tennis,sport of tennis adapted for participants in wheelchairs,tennis in carrozzina,sport paralimpico
http://www.wikidata.org/entity/Q217374,Ligue 2,French professional league for association football clubs,Ligue 2,secondo torneo professionistico del campionato francese di calcio
http://www.wikidata.org/entity/Q2119536,Showdown,sport for the blind and visually impaired which could be described as the blind communities answer to air hockey,showdown,sport per ipovedenti e non vedenti
http://www.wikidata.org/entity/Q217016,Czech First League,Czech association football top league,1. liga,campionato ceco di calcio
http://www.wikidata.org/entity/Q220996,1997 European Grand Prix,Formula One motor race held in 1997,Gran Premio d'Europa 1997,corsa automobilistica
http://www.wikidata.org/entity/Q15120374,European Rugby Champions Cup,European top-tier rugby union club competition,European Rugby Champions Cup,massima competizione europea per club di rugby a 15
http://www.wikidata.org/entity/Q2735901,shooting para sport,shooting sport adapted for participants with disabilities,Tiro a segno paralimpico,sport paralimpico
http://www.wikidata.org/entity/Q324867,La Liga,men's top professional football division of the Spanish football league system,LaLiga Spagnola,massima serie del campionato spagnolo di calcio
http://www.wikidata.org/entity/Q17006133,Bubble Baba Challenge,annual swimming event,Bubble Baba Challenge,gara di nuoto annuale in Russia
http://www.wikidata.org/entity/Q826591,Nahua,group of indigenous people from Mexico and El Salvador,Nahua,gruppo etnico stanziato in Messico e El Salvador
http://www.wikidata.org/entity/Q171844,1970 French Grand Prix,Formula One motor race held in 1970,Gran Premio di Francia 1970,corsa automobilistica
http://www.wikidata.org/entity/Q56345303,para snowboarding,snowboarding adapted for participants with disabilities,Snowboard paralimpico,sport per disabili
http://www.wikidata.org/entity/Q954704,Venice Marathon,annual race in Italy held since 1986,Maratona di Venezia,corsa podistica
http://www.wikidata.org/entity/Q70062392,2019 Rolex Shanghai Masters – doubles,2019 tennis event results,Rolex Masters 2019 - Doppio,Torneo maschile di tennis - doppio
http://www.wikidata.org/entity/Q1053900,Central League,Nippon Professional Baseball league,Central League,Lega professionistica di baseball di Nippon
http://www.wikidata.org/entity/Q622966,Aqua cycling,fitness training technique,Aquacycling,attività sportiva
http://www.wikidata.org/entity/Q1142995,Super League,professional rugby league,Super League,competizione di rugby a 13 per club
http://www.wikidata.org/entity/Q220903,2011 Korean Grand Prix,Formula One motor race,Gran Premio di Corea 2011,corsa automobilistica
http://www.wikidata.org/entity/Q880287,Düsseldorf Marathon,annual race in Germany held since 2003,Maratona di Düsseldorf,"maratona annuale che si svolge a Düsseldorf, in Germania"
http://www.wikidata.org/entity/Q490499,chess boxing,hybrid game of chess and boxing,scacchipugilato,disciplina sportiva
http://www.wikidata.org/entity/Q5798,Top 14,French rugby union league,Top 14,campionato nazionale francese di 1º livello di rugby a 15
http://www.wikidata.org/entity/Q2440459,wheelchair fencing,sport of fencing adapted for participants in wheelchairs,scherma in carrozzina,Variante paralimpica della Scherma Olimpica
http://www.wikidata.org/entity/Q9538,South American dreadnought race,"naval arms race between Argentina, Brazil, and Chile in the early 1900s",corsa sudamericana alle corazzate,"corsa agli armamenti navali tra Argentina, Brasile e Cile all'inizio del 1900"
http://www.wikidata.org/entity/Q1254757,Gilli-danda,"children's game; amateur sport, originating from the Indian subcontinent",lippa,gioco per bambini originario dell'India
http://www.wikidata.org/entity/Q131471,darts,throwing game,freccette,Gioco competitivo che consiste nel centrare un bersaglio con apposite piccole frecce lanciate a mano.
http://www.wikidata.org/entity/Q171776,1978 French Grand Prix,Formula One motor race held in 1978,Gran Premio di Francia 1978,corsa automobilistica
http://www.wikidata.org/entity/Q1550259,National Lacrosse League,professional indoor lacrosse league in North America,National Lacrosse League,lega professionistica nordamericana di indoor lacrosse
http://www.wikidata.org/entity/Q1673112,Ironman 70.3,Long-distance triathlon race,Ironman 70.3,sport
http://www.wikidata.org/entity/Q172156,1981 French Grand Prix,Formula One motor race held in 1981,Gran Premio di Francia 1981,corsa automobilistica
http://www.wikidata.org/entity/Q171873,1980 French Grand Prix,Formula One motor race held in 1980,Gran Premio di Francia 1980,corsa automobilistica
http://www.wikidata.org/entity/Q464995,American Hockey League,ice hockey league in the United States and Canada,American Hockey League,lega nordamericana di hockey su ghiaccio
http://www.wikidata.org/entity/Q11413,go,"board game for two players that originated in China more than 2,500 years ago",go,gioco da tavolo
http://www.wikidata.org/entity/Q1092612,Lega Nazionale Professionisti,"commonly known as Lega Calcio (Football League), was the governing body that ran the two highest football divisions in Italy, namely Serie A and Serie B, from 1946 to 2010",Lega Nazionale Professionisti,fu l'organismo associativo che gestì i più importanti tornei professionistici del calcio italiano di club nel secondo dopoguerra fino al 2010
http://www.wikidata.org/entity/Q13394,Ligue 1,French professional league for men's association football clubs,Ligue 1,massima serie del campionato francese di calcio
http://www.wikidata.org/entity/Q7133630,para equestrian sport,equestrian sport adapted for participants with disabilities,equitazione paralimpica,sport paralimpico
http://www.wikidata.org/entity/Q1064959,Beer pong,Drinking game involving ping pong balls,beer pong,gioco di bevute
http://www.wikidata.org/entity/Q171845,1972 French Grand Prix,Formula One motor race held in 1972,Gran Premio di Francia 1972,corsa automobilistica
http://www.wikidata.org/entity/Q974015,indoor hockey,team sport version of hockey played on indoor with sticks and a round ball,hockey su prato indoor,sport di squadra
http://www.wikidata.org/entity/Q171856,1967 French Grand Prix,Formula One motor race held in 1967,Gran Premio di Francia 1967,corsa automobilistica
http://www.wikidata.org/entity/Q3285658,boccia,precision ball sport for athletes with motor disabilities,boccia,sport boccistico per disabili
http://www.wikidata.org/entity/Q171904,1976 French Grand Prix,Formula One motor race held in 1976,Gran Premio di Francia 1976,corsa automobilistica
http://www.wikidata.org/entity/Q221005,1999 European Grand Prix,Formula One motor race held in 1999,Gran Premio d'Europa 1999,corsa automobilistica
http://www.wikidata.org/entity/Q62522317,judo at the 2020 Summer Paralympics,judo competition,Judo ai XVI Giochi paralimpici estivi,evento paralimpico
http://www.wikidata.org/entity/Q171987,1977 French Grand Prix,Formula One motor race held in 1977,Gran Premio di Francia 1977,corsa automobilistica
http://www.wikidata.org/entity/Q5904,Pro D2,Second level of domestic club rugby union in France,Pro D2,campionato nazionale francese di 2º livello di rugby a 15
http://www.wikidata.org/entity/Q55629,Epsom Derby,British Group 1 horse race for 3-year-olds over 1m 4f 10yds,Derby di Epsom,corsa ippica di gruppo piana disputata in Inghilterra
http://www.wikidata.org/entity/Q2413978,para swimming,sport of swimming adapted for participants with disabilities,nuoto paralimpico,nuoto praticato da atleti con disabilità
http://www.wikidata.org/entity/Q170436,Scrabble,board game with words,Scrabble,gioco da tavolo
http://www.wikidata.org/entity/Q115028979,Super Rugby Americas,Rugby union club competition in South America,Super Rugby Americas,lega rugbistica professionistica sudamericana
http://www.wikidata.org/entity/Q4618095,2010 Olympics torch relay,Wikimedia disambiguation page,2010 Olympics torch relay,pagina di disambiguazione di un progetto Wikimedia
http://www.wikidata.org/entity/Q14922,table football,tabletop game based on soccer,calcio balilla,gioco che simula una partita di calcio
http://www.wikidata.org/entity/Q2106551,Potsdamer Schlössermarathon,marathon in Potsdam,Potsdamer Schlössermarathon,maratona
http://www.wikidata.org/entity/Q1338800,Ironman Triathlon,series of long-distance triathlon races,Ironman,sport
http://www.wikidata.org/entity/Q3363711,paratriathlon,sport of triathlon adapted for participants with disabilities,paratriathlon,variante del triathlon per atleti con disabilità fisiche
http://www.wikidata.org/entity/Q5378,rugby,collective term for rugby union and rugby league team sports,rugby,sport di squadra
http://www.wikidata.org/entity/Q1770792,Systema,martial art,Systema,arte marziale
http://www.wikidata.org/entity/Q22029360,Copper Basin 300,sled dog race,Copper Basin 300,corsa con i cani da slitta
http://www.wikidata.org/entity/Q44914,sudoku,logic-based number-placement puzzle,sudoku,Rompicapo numerico a griglia
http://www.wikidata.org/entity/Q3532191,Tor des Géants,dialect of Arpitan,Tor des Géants,competizione di trail running
http://www.wikidata.org/entity/Q172046,1974 French Grand Prix,Formula One motor race held in 1974,Gran Premio di Francia 1974,corsa automobilistica
http://www.wikidata.org/entity/Q376301,Regional Water Polo League,Professional water polo league,Lega Adriatica,competizione di pallavolo per club
http://www.wikidata.org/entity/Q2386334,K League 1,top division in South Korean football,K League 1,massima serie del campionato sudcoreano di calcio
http://www.wikidata.org/entity/Q1163715,Major League Baseball,North American professional baseball league,Major League Baseball,serie maggiore della lega professionistica di baseball nordamericana
http://www.wikidata.org/entity/Q16893403,women's singles,discipline in tennis,singolare femminile,sport della racchetta
http://www.wikidata.org/entity/Q221010,2001 European Grand Prix,Formula One motor race held in 2001,Gran Premio d'Europa 2001,corsa automobilistica
http://www.wikidata.org/entity/Q16385,Sabarmati Marathon,"marathon organized in Ahmedabad, India",maratona Sabarmati,maratona indiana
http://www.wikidata.org/entity/Q2520041,duplicate bridge,card game,bridge duplicato,variante dell'omonimo gioco di carte
http://www.wikidata.org/entity/Q171918,1969 French Grand Prix,Formula One motor race held in 1969,Gran Premio di Francia 1969,corsa automobilistica
http://www.wikidata.org/entity/Q4748578,amputee football,association football for disabled players,calcio per amputati,sport per atleti con disabilità
http://www.wikidata.org/entity/Q6002,United Rugby Championship,annual rugby union competition in Europe and South Africa,United Rugby Championship,torneo interconfederale europeo di rugby a 15
http://www.wikidata.org/entity/Q171864,1975 French Grand Prix,Formula One motor race held in 1975,Gran Premio di Francia 1975,corsa automobilistica
http://www.wikidata.org/entity/Q2353362,Stramilano,running competition based in Milan,Stramilano,competizione podistica che si tiene annualmente a Milano
http://www.wikidata.org/entity/Q3565742,episkyros,ancient Greek ball game,episkyros,gioco con la palla praticato nell'antica Grecia
http://www.wikidata.org/entity/Q571844,Dicta Boelcke,list of aerial combat maneuvers,Dicta Boelcke,regole nel combattimento aereo
http://www.wikidata.org/entity/Q3891839,Palio di Bientina,horse race in Bientina,Palio di Bientina,"competizione equestre tra le nove contrade del comune di Bientina, nella provincia di Pisa"
http://www.wikidata.org/entity/Q392130,Swedish Hockey League,Swedish men's ice hockey top division,Svenska Hockeyligan,lega professionistica di hockey su ghiaccio svedese
http://www.wikidata.org/entity/Q12448,1954 Argentine Grand Prix,Formula One motor race held in 1954,Gran Premio d'Argentina 1954,33º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q1457993,alpine skiing combined,event in alpine ski racing,combinata alpina,specialità dello sci alpino
http://www.wikidata.org/entity/Q221621,2004 French Grand Prix,Formula One motor race held in 2004,Gran Premio di Francia 2004,corsa automobilistica
http://www.wikidata.org/entity/Q221282,1956 French Grand Prix,Formula One motor race held in 1956,Gran Premio di Francia 1956,corsa automobilistica
http://www.wikidata.org/entity/Q221308,1958 French Grand Prix,Formula One motor race held in 1958,Gran Premio di Francia 1958,corsa automobilistica
http://www.wikidata.org/entity/Q11912,2009 Abu Dhabi Grand Prix,820th Formula 1 Championship Grand Prix,Gran Premio di Abu Dhabi 2009,820º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q221346,1961 French Grand Prix,Formula One motor race held in 1961,Gran Premio di Francia 1961,corsa automobilistica
http://www.wikidata.org/entity/Q58951065,2019 Chinese Grand Prix,Formula 1 race,Gran Premio di Cina 2019,Corsa di autovetture
http://www.wikidata.org/entity/Q11914,2010 Abu Dhabi Grand Prix,839th Formula 1 Championship Grand Prix,Gran Premio di Abu Dhabi 2010,839º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q11915,2011 Abu Dhabi Grand Prix,2011 edition of the Abu Dhabi Grand Prix,Gran Premio di Abu Dhabi 2011,857º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q172920,2010 European Grand Prix,Formula One motor race held in 2010,Gran Premio d'Europa 2010,corsa automobilistica
http://www.wikidata.org/entity/Q12455,1960 Argentine Grand Prix,Formula One motor race held in 1960,Gran Premio d'Argentina 1960,85º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q221338,1960 French Grand Prix,Formula One motor race held in 1960,Gran Premio di Francia 1960,corsa automobilistica
http://www.wikidata.org/entity/Q11916,2012 Abu Dhabi Grand Prix,876th Formula 1 Championship Grand Prix,Gran Premio di Abu Dhabi 2012,876º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q173033,1950 Indianapolis 500,34th running of the Indianapolis 500 motor race,500 Miglia di Indianapolis 1950,corsa automobilistica
http://www.wikidata.org/entity/Q221541,1993 French Grand Prix,Formula One motor race held in 1993,Gran Premio di Francia 1993,corsa automobilistica
http://www.wikidata.org/entity/Q221567,1996 French Grand Prix,Formula One motor race held in 1996,Gran Premio di Francia 1996,corsa automobilistica
http://www.wikidata.org/entity/Q221581,1998 French Grand Prix,Formula One motor race held in 1998,Gran Premio di Francia 1998,corsa automobilistica
http://www.wikidata.org/entity/Q173058,1950 French Grand Prix,Formula One motor race held in 1950,Gran Premio di Francia 1950,corsa automobilistica
http://www.wikidata.org/entity/Q206984,Billie Jean King Cup,international team competition in women's tennis,Billie Jean King Cup,massima competizione mondiale di tennis femminile a squadre
http://www.wikidata.org/entity/Q15513,1973 Austrian Grand Prix,motor car race,Gran Premio d'Austria 1973,232º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q15565,1982 Austrian Grand Prix,motor car race,Gran Premio d'Austria 1982,370º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q12471,1978 Argentine Grand Prix,Formula One motor race held in 1978,Gran Premio d'Argentina 1978,298º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q220956,1984 European Grand Prix,Formula One motor race held in 1984,Gran Premio d'Europa 1984,corsa automobilistica
http://www.wikidata.org/entity/Q221521,1990 French Grand Prix,Formula One motor race held in 1990,Gran Premio di Francia 1990,corsa automobilistica
http://www.wikidata.org/entity/Q15039,1986 Australian Grand Prix,463th Formula 1 Championship Grand Prix,Gran Premio d'Australia 1986,436º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q221489,1985 French Grand Prix,Formula One motor race held in 1985,Gran Premio di Francia 1985,corsa automobilistica
http://www.wikidata.org/entity/Q12447,1953 Argentine Grand Prix,first round of the 1953 Formula One World Drivers' Championship,Gran Premio d'Argentina 1953,24º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q15561,1980 Austrian Grand Prix,motor car race,Gran Premio d'Austria 1980,338º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q221041,2002 European Grand Prix,Formula One motor race held in 2002,Gran Premio d'Europa 2002,corsa automobilistica
http://www.wikidata.org/entity/Q221631,2005 French Grand Prix,Formula One motor race held in 2005,Gran Premio di Francia 2005,corsa automobilistica
http://www.wikidata.org/entity/Q12454,1958 Argentine Grand Prix,65th Formula 1 Championship Grand Prix,Gran Premio d'Argentina 1958,65º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q74212,2012 Indian Grand Prix,Formula One motor car race,Gran Premio d'India 2012,corsa automobilistica
http://www.wikidata.org/entity/Q718,chess,strategy board game,scacchi,gioco da tavolo
http://www.wikidata.org/entity/Q221603,2002 French Grand Prix,Formula One motor race held in 2002,Gran Premio di Francia 2002,corsa automobilistica
http://www.wikidata.org/entity/Q15515,1974 Austrian Grand Prix,motor car race,Gran Premio d'Austria 1974,247º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q12469,1975 Argentine Grand Prix,251th Formula 1 Championship Grand Prix,Gran Premio d'Argentina 1975,251º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q172944,2000 European Grand Prix,Formula One motor race held in 2000,Gran Premio d'Europa 2000,corsa automobilistica
http://www.wikidata.org/entity/Q307392,1959 Indianapolis 500,43rd running of the Indianapolis 500 motor race,500 Miglia di Indianapolis 1959,corsa automobilistica
http://www.wikidata.org/entity/Q221512,1989 French Grand Prix,Formula One motor race held in 1989,Gran Premio di Francia 1989,corsa automobilistica
http://www.wikidata.org/entity/Q12459,1972 Argentine Grand Prix,Formula One motor race held in 1972,Gran Premio d'Argentina 1972,209º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q12474,1979 Argentine Grand Prix,Formula One motor race held in 1979,Gran Premio d'Argentina 1979,314º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q15517,1975 Austrian Grand Prix,262th Formula 1 Championship Grand Prix,Gran Premio d'Austria 1975,262º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q221484,1984 French Grand Prix,Formula One motor race held in 1984,Gran Premio di Francia 1984,corsa automobilistica
http://www.wikidata.org/entity/Q221505,1988 French Grand Prix,Formula One motor race held in 1988,Gran Premio di Francia 1988,corsa automobilistica
http://www.wikidata.org/entity/Q15042,1988 Australian Grand Prix,468th Formula 1 Championship Grand Prix,Gran Premio d'Australia 1988,468º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q15043,1989 Australian Grand Prix,484th Formula 1 Championship Grand Prix,Gran Premio d'Australia 1989,484º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q15064,2004 Australian Grand Prix,714th Formula 1 Championship Grand Prix,Gran Premio d'Australia 2004,714º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q15072,2011 Australian Grand Prix,840th Formula 1 Championship Grand Prix,Gran Premio d'Australia 2011,840º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q221386,1965 French Grand Prix,Formula One motor race held in 1965,Gran Premio di Francia 1965,corsa automobilistica
http://www.wikidata.org/entity/Q12451,1956 Argentine Grand Prix,Formula One motor race held in 1956,Gran Premio d'Argentina 1956,49º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q12641,1996 Argentine Grand Prix,Formula One motor race held in 1996,Gran Premio d'Argentina 1996,584º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q12475,1980 Argentine Grand Prix,Formula One motor race held in 1980,Gran Premio d'Argentina 1980,329º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q221100,2007 European Grand Prix,Formula One motor race held in 2007,Gran Premio d'Europa 2007,corsa automobilistica
http://www.wikidata.org/entity/Q12450,1955 Argentine Grand Prix,Formula One motor race held in 1955,Gran Premio d'Argentina 1955,42º Gran Premio valido per il Campionato mondiale di Formula 1
http://www.wikidata.org/entity/Q221558,1995 French Grand Prix,Formula One motor race held in 1995,Gran Premio di Francia 1995,corsa automobilistica
